idade,ano,sexo,clientela,populacao
3,2057,1,1,7428865
3,2057,1,2,1780079
3,2057,3,1,7164177
3,2057,3,2,1655670
3,2058,1,1,7409550
3,2058,1,2,1775451
3,2058,3,1,7145550
3,2058,3,2,1651365
3,2059,1,1,7388062
3,2059,1,2,1770302
3,2059,3,1,7124828
3,2059,3,2,1646576
3,2060,1,1,7365159
3,2060,1,2,1764814
3,2060,3,1,7102741
3,2060,3,2,1641472
4,2013,1,1,7408345
4,2013,1,2,1552651
4,2013,3,1,7250614
4,2013,3,2,1305858
4,2014,1,1,7368034
4,2014,1,2,1528097
4,2014,3,1,7248978
4,2014,3,2,1351350
4,2015,1,1,7304274
4,2015,1,2,1606964
4,2015,3,1,7218637
4,2015,3,2,1349094
4,2016,1,1,7364899
4,2016,1,2,1620302
4,2016,3,1,7278552
4,2016,3,2,1360291
4,2017,1,1,7423818
4,2017,1,2,1633264
4,2017,3,1,7336780
4,2017,3,2,1371173
4,2018,1,1,7484693
4,2018,1,2,1646657
4,2018,3,1,7396942
4,2018,3,2,1382417
4,2019,1,1,7543822
4,2019,1,2,1659666
4,2019,3,1,7455378
4,2019,3,2,1393338
4,2020,1,1,7601909
4,2020,1,2,1672445
4,2020,3,1,7512784
4,2020,3,2,1404067
4,2021,1,1,7658163
4,2021,1,2,1684821
4,2021,3,1,7568379
4,2021,3,2,1414457
4,2022,1,1,7712536
4,2022,1,2,1696783
4,2022,3,1,7622114
4,2022,3,2,1424500
4,2023,1,1,7764981
4,2023,1,2,1708321
4,2023,3,1,7673944
4,2023,3,2,1434187
4,2024,1,1,7815453
4,2024,1,2,1719425
4,2024,3,1,7723825
4,2024,3,2,1443509
4,2025,1,1,7863909
4,2025,1,2,1730085
4,2025,3,1,7771713
4,2025,3,2,1452459
4,2026,1,1,7910306
4,2026,1,2,1740293
4,2026,3,1,7817566
4,2026,3,2,1461029
4,2027,1,1,7954604
4,2027,1,2,1750039
4,2027,3,1,7861344
4,2027,3,2,1469211
4,2028,1,1,7996763
4,2028,1,2,1759314
4,2028,3,1,7903009
4,2028,3,2,1476998
4,2029,1,1,8036747
4,2029,1,2,1768111
4,2029,3,1,7942524
4,2029,3,2,1484383
4,2030,1,1,8074520
4,2030,1,2,1776421
4,2030,3,1,7979854
4,2030,3,2,1491360
4,2031,1,1,8110048
4,2031,1,2,1784237
4,2031,3,1,8014965
4,2031,3,2,1497922
4,2032,1,1,8143299
4,2032,1,2,1791552
4,2032,3,1,8047826
4,2032,3,2,1504063
4,2033,1,1,8174244
4,2033,1,2,1798360
4,2033,3,1,8078408
4,2033,3,2,1509778
4,2034,1,1,8202854
4,2034,1,2,1804654
4,2034,3,1,8106682
4,2034,3,2,1515062
4,2035,1,1,8229103
4,2035,1,2,1810429
4,2035,3,1,8132623
4,2035,3,2,1519910
4,2036,1,1,8252967
4,2036,1,2,1815679
4,2036,3,1,8156208
4,2036,3,2,1524318
4,2037,1,1,8275250
